Platform,Name,Mother,Year,Home
X360,Xbox 360 ,Microsoft,2005,1
XB,Xbox ,Microsoft,2001,1
XOne,Xbox One ,Microsoft,2013,1
XS,Xbox Series X/S ,Microsoft,2020,1
GBC,Game Boy Color,Nintendo,1998,0
DS,Nintendo DS ,Nintendo,2004,0
GB,Game Boy ,Nintendo,1989,0
GBA,Game Boy Advance ,Nintendo,2001,0
GC,GameCube ,Nintendo,2001,1
N64,Nintendo 64 ,Nintendo,1996,1
NES,NES,Nintendo,1983,1
NS,Nintendo Switch ,Nintendo,2017,1
SNES,SNES,Nintendo,1990,1
Wii,Nintendo Wii ,Nintendo,2006,1
WiiU,Nintendo Wii U ,Nintendo,2012,1
3DS,Nintendo 3DS ,Nintendo,2011,0
PS,PlayStation ,Sony,1994,1
PS2,PlayStation 2 ,Sony,2000,1
PS3,PlayStation 3 ,Sony,2006,1
PS4,PlayStation 4 ,Sony,2013,1
PS5,PlayStation 5 ,Sony,2020,1
PSP,PS Portable ,Sony,2004,0
PSV,PlayStation Vita ,Sony,2011,0
2600,Atari 2600 ,Atari,1982,1
5200,Atari 5200 ,Atari,1982,1
7800,Atari 7800 ,Atari,1986,1
AJ,Atari Jaguar ,Atari,1993,1
DC,Dreamcast ,Sega,1998,1
GEN,Sega Genesis ,Sega,1988,1
GG,GameGear ,Sega,1990,1
IQue,IQue Player ,Nintendo,1996,1
MS,Sega Master System ,Sega,1985,1
S32X,Sega 32X ,Sega,1994,1
SAT,Sega Saturn ,Sega,1994,1
SCD,Sega CD ,Sega,1991,1
VB,Virtual Boy ,Nintendo,1995,1
TG16,TurboGrafx-16 ,#N/A,#N/A,#N/A
FDS,Famicom Disk System ,#N/A,#N/A,#N/A
WS,WonderSwan ,#N/A,#N/A,#N/A
Int,Intellivision ,#N/A,#N/A,#N/A
NGage,N-Gage ,#N/A,#N/A,#N/A
3DO,3DO Interactive Multiplayer ,#N/A,#N/A,#N/A
CV,ColecoVision ,#N/A,#N/A,#N/A
Lynx,Atari Lynx ,#N/A,#N/A,#N/A
CDi,CD-i ,#N/A,#N/A,#N/A
CT,Coleco Telstar ,#N/A,#N/A,#N/A
NG,Neo Geo ,#N/A,#N/A,#N/A
PCFX,PC-FX ,#N/A,#N/A,#N/A
FCF,Fairchild Channel F ,#N/A,#N/A,#N/A
Odys,Magnavox Odyssey ,#N/A,#N/A,#N/A
CD32,Amiga CD32 ,#N/A,#N/A,#N/A
GIZ,Gizmondo ,#N/A,#N/A,#N/A
