Year,Name_platform,Sales
1983,Nintendo Entertainment System ,2.14
1984,Nintendo Entertainment System ,3.66
1985,Nintendo Entertainment System ,93.27
1986,Nintendo Entertainment System ,21.0
1987,Nintendo Entertainment System ,29.96
1988,Nintendo Entertainment System ,25.11
1989,Game Boy ,55.22
1989,Nintendo Entertainment System ,20.7
1990,Game Boy ,12.61
1990,Nintendo Entertainment System ,37.64
1991,Game Boy ,8.22
1991,Nintendo Entertainment System ,3.9699999999999998
1991,Super Nintendo Entertainment System ,34.17
1992,Game Boy ,21.34
1992,Nintendo Entertainment System ,13.41
1992,Super Nintendo Entertainment System ,35.55
1993,Game Boy ,9.91
1993,Nintendo Entertainment System ,5.43
1993,Super Nintendo Entertainment System ,33.94
1994,Game Boy ,8.26
1994,Nintendo Entertainment System ,0.7000000000000001
1994,Super Nintendo Entertainment System ,41.03
1995,Game Boy ,7.19
1995,Super Nintendo Entertainment System ,36.37
1996,Game Boy ,3.52
1996,Nintendo 64 ,23.59
1996,Super Nintendo Entertainment System ,16.83
1997,Game Boy ,5.92
1997,Nintendo 64 ,43.91
1997,Super Nintendo Entertainment System ,1.45
1998,Game Boy ,35.99
1998,Game Boy Color,4.1
1998,Nintendo 64 ,51.769999999999996
1998,Super Nintendo Entertainment System ,0.22000000000000003
1999,Game Boy ,26.080000000000002
1999,Game Boy Color,5.31
1999,Nintendo 64 ,51.42
1999,Super Nintendo Entertainment System ,1.5699999999999998
2000,Game Boy ,34.910000000000004
2000,Game Boy Color,2.19
2000,Nintendo 64 ,40.5
2001,Game Boy ,8.620000000000001
2001,Game Boy Advance ,52.11
2001,Game Boy Color,14.16
2001,GameCube ,20.63
2001,Nintendo 64 ,9.32
2002,Game Boy ,0.83
2002,Game Boy Advance ,62.04
2002,Game Boy Color,0.56
2002,GameCube ,48.78
2002,Nintendo 64 ,0.08
2003,Game Boy Advance ,77.1
2003,GameCube ,44.45
2004,Game Boy Advance ,74.25
2004,GameCube ,35.9
2004,Nintendo DS ,25.45
2005,Game Boy Advance ,44.69
2005,GameCube ,29.5
2005,Nintendo DS ,83.17
2006,Game Boy Advance ,10.43
2006,GameCube ,14.1
2006,Nintendo DS ,130.11
2006,Nintendo Wii ,105.34
2007,Game Boy Advance ,3.68
2007,GameCube ,0.26
2007,Nintendo DS ,157.84
2007,Nintendo Wii ,157.39
2008,Nintendo DS ,139.08
2008,Nintendo Wii ,195.83
2009,Nintendo DS ,128.06
2009,Nintendo Wii ,205.29
2010,Nintendo DS ,95.76
2010,Nintendo Wii ,128.83
2011,Nintendo 3DS ,75.45
2011,Nintendo DS ,54.730000000000004
2011,Nintendo Wii ,62.1
2012,Nintendo 3DS ,39.19
2012,Nintendo DS ,11.83
2012,Nintendo Wii ,25.11
2012,Nintendo Wii U ,18.29
2013,Nintendo 3DS ,77.82000000000001
2013,Nintendo DS ,1.62
2013,Nintendo Wii ,9.37
2013,Nintendo Wii U ,25.4
2014,Nintendo 3DS ,51.39
2014,Nintendo DS ,0.05
2014,Nintendo Wii ,3.84
2014,Nintendo Wii U ,24.82
2015,Nintendo 3DS ,28.71
2015,Nintendo Wii ,1.3800000000000001
2015,Nintendo Wii U ,19.16
2016,Nintendo 3DS ,55.02
2016,Nintendo DS ,0.02
2016,Nintendo Wii ,1.0
2016,Nintendo Wii U ,7.53
2017,Nintendo 3DS ,25.24
2017,Nintendo Switch ,144.06
2017,Nintendo Wii ,0.39
2017,Nintendo Wii U ,1.95
2018,Nintendo 3DS ,4.89
2018,Nintendo Switch ,106.71
2018,Nintendo Wii ,0.24
2018,Nintendo Wii U ,0.1
2019,Nintendo 3DS ,1.02
2019,Nintendo Switch ,91.89
2020,Game Boy Advance ,0.66
2020,Nintendo 3DS ,0.05
2020,Nintendo DS ,0.35
2020,Nintendo Switch ,73.39
2020,Nintendo Wii ,0.16
2021,Nintendo Switch ,56.35
2022,Nintendo Switch ,30.17
Tot,Game Boy ,238.62
Tot,Game Boy Advance ,324.96
Tot,Game Boy Color,26.32
Tot,GameCube ,193.62
Tot,Nintendo 3DS ,358.78000000000003
Tot,Nintendo 64 ,220.59
Tot,Nintendo DS ,828.07
Tot,Nintendo Entertainment System ,256.99
Tot,Nintendo Switch ,502.57
Tot,Nintendo Wii ,896.27
Tot,Nintendo Wii U ,97.25
Tot,Super Nintendo Entertainment System ,201.13
