,ID,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,YEAR,MONTH,DAY,ID,GENDER,ETHNICITY,OCCUPATION,ROBBER,ALARM,COOK,COMMANDER,FIGHTER,ACCOUNTING,TRAINING,SHOOTING GUARD,EXTORTION,WEAPON MANUFACTURING,MANUFACTURE-PLANTING OF MINES,GUARD,INFORMANT,PATROLMAN,RADIO OPERATIONS,COCA PICKER,HEALTH SERVICES,CONTRACT KILLER,ORGANIZATIONAL WORK,DRUG TRAFFICKING,WEAPONS TRANSPORT,NO INFO,OTHER,AGE,LAT,LON
0,207556,05756,SONSON,ANTIOQUIA,2001,4,25,228831,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,5.8376814743,-74.8280732592
1,209268,05234,DABEIBA,ANTIOQUIA,0,0,0,230543,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,INFANCIA (6-11),7.0003219398,-76.2629766474
2,225057,68689,SAN VICENTE DE CHUCURI,SANTANDER,1988,0,0,246332,MALE,,GUERRILLA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADOLESCENCIA (12-17),6.8803829351,-73.4110239344
3,228661,66456,MISTRATO,RISARALDA,1998,2,15,249936,FEMALE,,STUDENT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADOLESCENCIA (12-17),5.4162684868,-75.9043263373
4,229622,50001,VILLAVICENCIO,META,1993,1,11,250897,MALE,,STUDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),4.1238614996,-73.6270920374
5,236057,05660,SAN LUIS,ANTIOQUIA,1998,2,16,257332,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADOLESCENCIA (12-17),6.063828223,-74.806913159
6,238584,66594,QUINCHIA,RISARALDA,1998,12,1,259859,FEMALE,,GUERRILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),5.3404456801,-75.7304125955
7,244955,05837,TURBO,ANTIOQUIA,2000,4,15,266230,MALE,INDIGENOUS,STUDENT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADOLESCENCIA (12-17),8.089116411,-76.7291584376
8,244955,05837,TURBO,ANTIOQUIA,2000,4,15,568819,MALE,INDIGENOUS,STUDENT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADOLESCENCIA (12-17),8.089116411,-76.7291584376
9,252216,73001,IBAGUE,TOLIMA,2001,7,1,273491,MALE,,STUDENT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.4396089914,-75.1937147765
10,253262,17541,PENSILVANIA,CALDAS,2001,9,10,274537,FEMALE,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),5.3832805942,-75.1602985189
11,253262,17541,PENSILVANIA,CALDAS,2001,9,10,579797,MALE,,STUDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),5.3832805942,-75.1602985189
12,254148,73283,FRESNO,TOLIMA,2001,10,28,275423,MALE,,WORKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.153638261,-75.0356271476
13,254148,73283,FRESNO,TOLIMA,2001,10,28,457706,MALE,,FARMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.153638261,-75.0356271476
14,259141,23001,MONTERIA,CORDOBA,2002,6,12,280416,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),8.7451325909,-75.8755779091
15,272040,05055,ARGELIA,ANTIOQUIA,2004,7,17,293315,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRANSPORTE DE MERCADO Y DINERO,ADOLESCENCIA (12-17),5.7306718788,-75.1417414563
