Year,Publisher_condensed,Global_Sales
1970,Other,1.1199999999999999
1971,Other,0.0
1977,Other,2.5
1978,Other,2.36
1979,Other,0.31
1980,Other,2.58
1981,Other,7.7299999999999995
1982,Other,31.19
1983,Other,22.68
1984,Other,4.85
1985,Other,2.19
1986,Other,10.35
1987,Other,5.59
1988,Other,8.73
1989,Other,9.12
1990,Other,9.07
1991,Other,6.05
1992,Other,9.38
1993,Other,20.95
1994,Other,36.910000000000004
1995,Other,53.44
1996,Other,104.23
1997,Other,107.64
1998,Other,135.91
1999,Other,177.51
2000,Other,173.39000000000001
2001,Other,226.62
2002,Other,317.96
2003,Other,309.98
2004,Other,285.18
2005,Other,313.01
2006,Other,243.02
2007,Other,435.79
2008,Other,538.61
2009,Other,495.15
2010,Other,452.23
2011,Other,441.86
2012,Other,286.84
2013,Other,265.92
2014,Other,293.04
2015,Other,240.03
