Year,Global_Sales
1970,1.1199999999999999
1971,0.0
1977,2.5
1978,2.36
1979,0.31
1980,2.58
1981,7.7299999999999995
1982,31.19
1983,22.68
1984,4.85
1985,2.19
1986,10.35
1987,5.59
1988,8.73
1989,9.12
1990,9.07
1991,6.05
1992,9.38
1993,20.95
1994,36.910000000000004
1995,53.44
1996,104.23
1997,107.64
1998,135.91
1999,177.51
2000,173.39000000000001
2001,226.62
2002,317.96
2003,309.98
2004,285.18
2005,313.01
2006,243.02
2007,435.79
2008,538.61
2009,495.15
2010,452.23
2011,441.86
2012,286.84
2013,265.92
2014,293.04
2015,240.03
