Year,Genre,Global_Sales
1970,Action,0.21
1970,Adventure,0.24
1970,Misc,0.04
1970,Role-Playing,0.63
1970,Strategy,0.0
1971,Education,0.0
1977,Action,1.25
1977,Racing,0.27
1977,Shooter,0.98
1978,Action,1.1800000000000002
1978,Adventure,0.0
1978,Puzzle,1.03
1978,Shooter,0.0
1978,Sports,0.15
1979,Action,0.31
1979,Role-Playing,0.0
1979,Shooter,0.0
1979,Simulation,0.0
1980,Adventure,0.0
1980,Fighting,1.24
1980,Misc,0.51
1980,Racing,0.32
1980,Sports,0.51
1981,Action,1.88
1981,Action-Adventure,0.0
1981,Adventure,0.0
1981,Misc,0.0
1981,Platform,0.0
1981,Role-Playing,0.0
1981,Shooter,5.359999999999999
1981,Sports,0.49
1982,Action,14.450000000000001
1982,Action-Adventure,0.0
1982,Adventure,0.0
1982,Platform,1.46
1982,Puzzle,2.2399999999999998
1982,Racing,0.48
1982,Role-Playing,0.0
1982,Shooter,11.77
1982,Sports,0.79
1983,Action,7.15
1983,Action-Adventure,0.0
1983,Adventure,0.0
1983,Misc,0.0
1983,Platform,7.3100000000000005
1983,Puzzle,2.2199999999999998
1983,Racing,2.44
1983,Role-Playing,0.0
1983,Shooter,2.5100000000000002
1983,Sports,1.05
1983,Strategy,0.0
1984,Action,2.63
1984,Action-Adventure,0.0
1984,Adventure,0.0
1984,Misc,0.0
1984,Platform,0.69
1984,Puzzle,0.78
1984,Racing,0.0
1984,Shooter,0.75
1984,Simulation,0.0
1985,Action,0.45
1985,Adventure,0.0
1985,Misc,0.0
1985,Platform,0.51
1985,Puzzle,1.23
1985,Racing,0.0
1985,Role-Playing,0.0
1985,Shooter,0.0
1985,Sports,0.0
1985,Strategy,0.0
1986,Action,1.7199999999999998
1986,Action-Adventure,0.0
1986,Adventure,0.0
1986,Board Game,0.0
1986,Fighting,1.05
1986,Platform,3.62
1986,Role-Playing,0.0
1986,Shooter,3.93
1986,Simulation,0.03
1986,Sports,0.0
1986,Strategy,0.0
1987,Action,0.65
1987,Action-Adventure,0.0
1987,Adventure,0.0
1987,Fighting,0.0
1987,Platform,2.04
1987,Puzzle,1.1
1987,Racing,0.0
1987,Role-Playing,1.25
1987,Shooter,0.26
1987,Sports,0.29
1987,Strategy,0.0
1988,Action,0.47
1988,Action-Adventure,0.0
1988,Adventure,0.0
1988,Board Game,0.0
1988,Misc,0.0
1988,Platform,1.98
1988,Racing,0.0
1988,Role-Playing,2.01
1988,Shooter,1.92
1988,Sports,2.35
1989,Action,0.71
