Year,Publisher_condensed,Global_Sales
1980,Activision,3.02
1980,Atari,8.36
1981,Activision,8.5
1981,Atari,8.45
1981,Other,18.82
1982,Activision,1.86
1982,Atari,19.43
1982,Other,7.17
1982,Sega,0.4
1983,Activision,1.94
1983,Atari,3.39
1983,Nintendo,10.96
1983,Other,0.5
1984,Activision,0.27
1984,Namco Bandai Games,3.4299999999999997
1984,Nintendo,45.559999999999995
1984,Other,1.1
1985,Activision,0.48
1985,Capcom,1.0
1985,Namco Bandai Games,1.46
1985,Nintendo,49.95
1985,Other,1.05
1986,Atari,0.6599999999999999
1986,Capcom,5.3
1986,Konami Digital Entertainment,4.99
1986,Namco Bandai Games,5.28
1986,Nintendo,16.18
1986,Other,4.66
1987,Activision,1.12
1987,Atari,0.86
1987,Capcom,0.81
1987,Konami Digital Entertainment,0.93
1987,Namco Bandai Games,2.67
1987,Nintendo,11.95
1987,Other,3.4
1988,Activision,0.75
1988,Capcom,2.94
1988,Namco Bandai Games,2.4299999999999997
1988,Nintendo,36.44
1988,Other,4.66
1989,Activision,0.47
1989,Atari,0.15
1989,Capcom,1.67
1989,Konami Digital Entertainment,0.85
1989,Namco Bandai Games,1.1
1989,Nintendo,63.88
1989,Other,5.33
1990,Capcom,3.92
1990,Konami Digital Entertainment,2.23
1990,Namco Bandai Games,0.63
1990,Nintendo,35.49
1990,Other,4.52
1990,Sega,2.6
1991,Capcom,2.23
1991,Konami Digital Entertainment,2.56
1991,Namco Bandai Games,1.03
1991,Nintendo,15.97
1991,Other,6.1
1991,Sega,4.34
1992,Capcom,12.399999999999999
1992,Electronic Arts,0.06
1992,Konami Digital Entertainment,0.26
1992,Namco Bandai Games,1.04
1992,Nintendo,38.11
1992,Other,16.31
1992,Sega,7.98
1993,Capcom,4.85
1993,Konami Digital Entertainment,0.45999999999999996
1993,Namco Bandai Games,5.38
1993,Nintendo,20.04
1993,Other,13.32
1993,Sega,1.93
1994,Activision,2.08
1994,Capcom,0.16
1994,Electronic Arts,0.6499999999999999
1994,Konami Digital Entertainment,1.71
1994,Namco Bandai Games,1.72
1994,Nintendo,24.990000000000002
1994,Other,36.9
1994,Sega,7.53
1994,Sony Computer Entertainment,3.43
1995,Activision,4.21
1995,Electronic Arts,3.33
1995,Konami Digital Entertainment,2.79
1995,Namco Bandai Games,2.52
1995,Nintendo,16.72
1995,Other,28.5
1995,Sega,7.93
1995,Sony Computer Entertainment,18.45
1995,THQ,0.63
1995,Ubisoft,3.03
1996,Activision,1.9500000000000002
1996,Capcom,1.34
1996,Electronic Arts,7.9
1996,Konami Digital Entertainment,3.88
1996,Microsoft Game Studios,5.12
1996,Namco Bandai Games,3.49
1996,Nintendo,73.7
1996,Other,62.25
1996,Sega,4.29
1996,Sony Computer Entertainment,35.07
1996,Ubisoft,0.16
1997,Activision,2.55
1997,Capcom,3.28
1997,Electronic Arts,22.94
1997,Konami Digital Entertainment,4.6
1997,Namco Bandai Games,6.34
1997,Nintendo,25.8
1997,Other,84.56
1997,Sega,2.14
1997,Sony Computer Entertainment,43.9
1997,THQ,1.9
1997,Take-Two Interactive,2.7199999999999998
1997,Ubisoft,0.25
1998,Activision,7.54
1998,Atari,1.46
1998,Capcom,3.74
1998,Electronic Arts,29.95
1998,Konami Digital Entertainment,15.39
1998,Namco Bandai Games,5.86
1998,Nintendo,48.410000000000004
1998,Other,85.97
1998,Sega,4.59
1998,Sony Computer Entertainment,34.64
1998,THQ,13.17
1998,Take-Two Interactive,5.45
1998,Ubisoft,0.3
1999,Activision,7.569999999999999
1999,Atari,2.3
1999,Capcom,0.88
1999,Electronic Arts,20.15
1999,Konami Digital Entertainment,15.26
1999,Microsoft Game Studios,0.1
1999,Namco Bandai Games,4.94
1999,Nintendo,65.33
1999,Other,83.84
1999,Sega,4.36
1999,Sony Computer Entertainment,36.24
1999,THQ,4.01
1999,Take-Two Interactive,1.68
1999,Ubisoft,4.61
2000,Activision,14.48
2000,Atari,4.8100000000000005
2000,Capcom,2.02
2000,Electronic Arts,25.13
2000,Konami Digital Entertainment,8.47
2000,Microsoft Game Studios,0.99
2000,Namco Bandai Games,9.7
2000,Nintendo,34.05
2000,Other,49.7
2000,Sega,3.8800000000000003
2000,Sony Computer Entertainment,21.69
2000,THQ,15.86
2000,Take-Two Interactive,6.03
2000,Ubisoft,4.75
2001,Activision,18.59
2001,Atari,8.049999999999999
2001,Capcom,7.95
2001,Electronic Arts,45.12
2001,Konami Digital Entertainment,21.89
2001,Microsoft Game Studios,13.49
2001,Namco Bandai Games,7.88
2001,Nintendo,45.37
2001,Other,65.57000000000001
2001,Sega,6.6000000000000005
2001,Sony Computer Entertainment,43.29
2001,THQ,22.25
2001,Take-Two Interactive,20.43
2001,Ubisoft,4.99
2002,Activision,25.94
2002,Atari,21.25
2002,Capcom,9.85
2002,Electronic Arts,73.01
2002,Konami Digital Entertainment,12.42
2002,Microsoft Game Studios,6.96
2002,Namco Bandai Games,12.98
2002,Nintendo,48.31
2002,Other,83.27
2002,Sega,12.3
2002,Sony Computer Entertainment,25.85
2002,THQ,26.88
2002,Take-Two Interactive,20.29
2002,Ubisoft,16.21
2003,Activision,21.38
2003,Atari,17.04
2003,Capcom,9.13
2003,Electronic Arts,69.83
2003,Konami Digital Entertainment,13.97
2003,Microsoft Game Studios,8.92
2003,Namco Bandai Games,10.46
2003,Nintendo,38.14
2003,Other,72.2
2003,Sega,12.53
2003,Sony Computer Entertainment,24.32
2003,Square Enix,2.42
2003,THQ,29.38
2003,Take-Two Interactive,10.57
2003,Ubisoft,16.89
2003,Warner Bros. Interactive Entertainment,0.67
2004,Activision,39.230000000000004
2004,Atari,11.55
2004,Capcom,6.86
2004,Electronic Arts,67.33
2004,Konami Digital Entertainment,20.2
2004,Microsoft Game Studios,13.68
2004,Namco Bandai Games,5.49
2004,Nintendo,60.65
2004,Other,70.89
2004,Sega,11.93
2004,Sony Computer Entertainment,35.160000000000004
2004,Square Enix,8.14
2004,THQ,28.69
2004,Take-Two Interactive,24.11
2004,Ubisoft,15.4
2005,Activision,35.39
2005,Atari,8.38
