Year,Region,Sales
1980,NA_Sales,10.59
1980,EU_Sales,0.67
1980,JP_Sales,0.0
1980,Other_Sales,0.12
1981,NA_Sales,33.4
1981,EU_Sales,1.96
1981,JP_Sales,0.0
1981,Other_Sales,0.32
1982,NA_Sales,26.92
1982,EU_Sales,1.65
1982,JP_Sales,0.0
1982,Other_Sales,0.31
1983,NA_Sales,7.76
1983,EU_Sales,0.8
1983,JP_Sales,8.1
1983,Other_Sales,0.14
1984,NA_Sales,33.28
1984,EU_Sales,2.1
1984,JP_Sales,14.27
1984,Other_Sales,0.7
1985,NA_Sales,33.73
1985,EU_Sales,4.74
1985,JP_Sales,14.56
1985,Other_Sales,0.92
1986,NA_Sales,12.5
1986,EU_Sales,2.84
1986,JP_Sales,19.81
1986,Other_Sales,1.93
1987,NA_Sales,8.459999999999999
1987,EU_Sales,1.41
1987,JP_Sales,11.63
1987,Other_Sales,0.2
1988,NA_Sales,23.869999999999997
1988,EU_Sales,6.59
1988,JP_Sales,15.76
1988,Other_Sales,0.99
1989,NA_Sales,45.15
1989,EU_Sales,8.44
1989,JP_Sales,18.36
1989,Other_Sales,1.5
1990,NA_Sales,25.46
1990,EU_Sales,7.63
1990,JP_Sales,14.879999999999999
1990,Other_Sales,1.4000000000000001
1991,NA_Sales,12.76
1991,EU_Sales,3.95
1991,JP_Sales,14.78
1991,Other_Sales,0.74
1992,NA_Sales,33.87
1992,EU_Sales,11.71
1992,JP_Sales,28.91
1992,Other_Sales,1.65
1993,NA_Sales,15.120000000000001
1993,EU_Sales,4.65
1993,JP_Sales,25.330000000000002
1993,Other_Sales,0.89
1994,NA_Sales,28.150000000000002
1994,EU_Sales,14.88
1994,JP_Sales,33.99
1994,Other_Sales,2.2
1995,NA_Sales,24.82
1995,EU_Sales,14.9
1995,JP_Sales,45.75
1995,Other_Sales,2.64
1996,NA_Sales,86.76
1996,EU_Sales,47.26
1996,JP_Sales,57.44
1996,Other_Sales,7.69
1997,NA_Sales,94.75
1997,EU_Sales,48.32
1997,JP_Sales,48.87
1997,Other_Sales,9.13
1998,NA_Sales,128.36
1998,EU_Sales,66.9
1998,JP_Sales,50.04
1998,Other_Sales,11.03
1999,NA_Sales,126.06
1999,EU_Sales,62.67
1999,JP_Sales,52.34
1999,Other_Sales,10.05
2000,NA_Sales,94.49
2000,EU_Sales,52.75
2000,JP_Sales,42.769999999999996
2000,Other_Sales,11.620000000000001
2001,NA_Sales,173.98
2001,EU_Sales,94.89
2001,JP_Sales,39.86
2001,Other_Sales,22.76
2002,NA_Sales,216.19
2002,EU_Sales,109.74
2002,JP_Sales,41.76
2002,Other_Sales,27.28
2003,NA_Sales,193.59
2003,EU_Sales,103.81
2003,JP_Sales,34.2
2003,Other_Sales,26.01
2004,NA_Sales,222.59
2004,EU_Sales,107.32
2004,JP_Sales,41.65
2004,Other_Sales,47.29
2005,NA_Sales,242.61
2005,EU_Sales,121.94
2005,JP_Sales,54.28
2005,Other_Sales,40.58
2006,NA_Sales,263.12
2006,EU_Sales,129.24
2006,JP_Sales,73.73
2006,Other_Sales,54.43
2007,NA_Sales,312.05
2007,EU_Sales,160.5
2007,JP_Sales,60.29
2007,Other_Sales,77.6
2008,NA_Sales,351.44
2008,EU_Sales,184.4
2008,JP_Sales,60.26
2008,Other_Sales,82.39
2009,NA_Sales,338.85
2009,EU_Sales,191.59
2009,JP_Sales,61.89
2009,Other_Sales,74.77
2010,NA_Sales,304.24
2010,EU_Sales,176.73
2010,JP_Sales,59.49
2010,Other_Sales,59.9
2011,NA_Sales,241.06
2011,EU_Sales,167.44
2011,JP_Sales,53.04
2011,Other_Sales,54.39
2012,NA_Sales,154.96
2012,EU_Sales,118.78
2012,JP_Sales,51.74
2012,Other_Sales,37.82
2013,NA_Sales,154.77
2013,EU_Sales,125.8
2013,JP_Sales,47.59
2013,Other_Sales,39.82
2014,NA_Sales,131.97
2014,EU_Sales,125.65
2014,JP_Sales,39.46
2014,Other_Sales,40.02
2015,NA_Sales,102.82
2015,EU_Sales,97.71
2015,JP_Sales,33.72
2015,Other_Sales,30.01
