Pos,Platform,North America,Europe,Japan,Rest of World,Global
1,PlayStation 2 (PS2),53.65,55.28,23.18,26.59,158.7
2,Nintendo DS (DS),57.92,51.84,32.99,11.28,154.02
3,Game Boy (GB),43.18,40.05,32.47,2.99,118.69
4,PlayStation 4 (PS4),38.2,45.92,9.57,23.32,117.01
5,Nintendo Switch (NS),41.14,29,26.61,17.57,114.32
6,PlayStation (PS),40.78,31.09,21.59,9.04,102.49
7,Nintendo Wii (Wii),45.51,33.12,12.77,10.23,101.63
8,PlayStation 3 (PS3),29.92,30.87,10.47,16.14,87.4
9,Xbox 360 (X360),47.09,25.08,1.66,11.9,85.73
10,Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
11,PlayStation Portable (PSP),21.41,24.39,20.01,14.98,80.79
12,Nintendo 3DS (3DS),25.47,20.45,24.67,5.35,75.94
13,Nintendo Entertainment System (NES),33.49,8.3,19.35,0.77,61.91
14,Xbox One (XOne),31.61,13.01,0.12,6.54,51.28
15,Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.9,49.1
16,Sega Genesis (GEN),18.5,8.39,3.58,3.59,34.06
17,Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
18,Atari 2600 (2600),23.54,3.35,2.36,0.75,30
19,PlayStation 5 (PS5),10.06,8.68,2.07,4.41,25.23
20,Xbox (XB),15.77,7.17,0.47,1.24,24.65
21,GameCube (GC),12.55,4.44,4.04,0.71,21.74
22,Sega Master System (MS),2,6.95,2.52,9.37,20.84
23,Xbox Series X/S (XS),9.15,4.89,0.38,3.5,17.91
24,PlayStation Vita (PSV),2.7,3.94,5.73,3.44,15.82
25,Nintendo Wii U (WiiU),6.15,3.27,3.33,0.82,13.56
26,GameGear (GG),5.4,3.23,1.78,0.21,10.62
27,TurboGrafx-16 (TG16),0.75,N/A,7.76,N/A,10
28,Sega Saturn (SAT),1.83,1.1,5.8,0.53,9.26
29,Dreamcast (DC),3.9,1.91,2.25,1.07,9.13
30,Famicom Disk System (FDS),N/A,N/A,4.4,N/A,4.4
31,Atari 7800 (7800),3.77,N/A,N/A,N/A,3.77
32,WonderSwan (WS),N/A,N/A,3.5,N/A,3.5
33,Intellivision (Int),N/A,N/A,N/A,N/A,3
34,N-Gage (NGage),N/A,N/A,N/A,N/A,3
35,Sega CD (SCD),N/A,N/A,0.4,N/A,2.24
36,3DO Interactive Multiplayer (3DO),N/A,N/A,N/A,N/A,2
37,ColecoVision (CV),N/A,N/A,N/A,N/A,2
38,Atari Lynx (Lynx),N/A,N/A,N/A,N/A,1
39,Atari 5200 (5200),N/A,N/A,N/A,N/A,1
40,CD-i (CDi),0.4,N/A,N/A,N/A,1
41,Coleco Telstar (CT),1,N/A,N/A,N/A,1
42,Neo Geo (NG),N/A,N/A,N/A,N/A,0.98
43,Sega 32X (S32X),N/A,N/A,N/A,N/A,0.8
44,Virtual Boy (VB),N/A,N/A,0.14,N/A,0.77
45,PC-FX (PCFX),N/A,N/A,0.4,N/A,0.4
46,Fairchild Channel F (FCF),N/A,N/A,N/A,N/A,0.35
47,Magnavox Odyssey (Odys),N/A,N/A,N/A,N/A,0.35
48,Atari Jaguar (AJ),N/A,N/A,N/A,N/A,0.25
49,Amiga CD32 (CD32),N/A,0.1,N/A,N/A,0.1
50,Gizmondo (GIZ),N/A,N/A,N/A,N/A,0.02
51,IQue Player (IQue),N/A,N/A,N/A,0.01,0.01
