,ID,RELATED_ID,YEAR,MONTH,DAY,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,REGION,MODALITY,RESPONSIBLE,RESPONSIBLE_DESCRIPTION,LAND_DISPOSSESSION,THREAT,MEDICAL_MISSION,CONFINEMENT,DISPLACEMENT,EXTORTION,INJURIES,PLUNDER,TORTURE,GENDER_VIOLENCE,SIMULTANEOUS_EVENT,VICTIMS,WEAPONS,LAT,LON
0,100649,CR030032,1998,1,25,25530,PARATEBUENO,CUNDINAMARCA,PIEDEMONTE LLANERO,ROUTE,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,VENTA A BAJO PRECIO.,5.0,FIREARM,4.3748327813,-73.2128272365
1,102446,,2007,10,17,27361,ISTMINA,CHOCO,VALLE DE SAN JUAN,HOAX,POST-DEMOBILIZATION GROUP,LOS RASTROJOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,5.1539464955,-76.6851803224
2,105517,,2005,12,7,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,ASSAULT,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,11.3783267846,-72.24190502
3,105564,,2000,6,18,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,CONTRACT KILLING,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,4.0,FIREARM,11.3783267846,-72.24190502
4,105630,,2002,6,2,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,CONTRACT KILLING,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,11.3783267846,-72.24190502
5,105646,,2002,8,6,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,RETENTION/EXECUTION,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,4.0,FIREARM,11.3783267846,-72.24190502
6,106422,,1988,7,12,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ROUTE,PARAMILITARY GROUP,OTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,5.0,NOT AVAILABLE,11.2294335041,-74.1908941206
7,107728,CR036098,2002,3,7,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASSAULT,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,11.2294335041,-74.1908941206
8,108305,,1988,7,12,47189,CIENAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ROUTE,PARAMILITARY GROUP,OTRO,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,5.0,FIREARM - BLUNT OBJECT,10.7696471787,-74.0240432215
9,109656,,1995,5,21,47268,EL RETEN,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,ASSAULT,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,10.6106676606,-74.2684560983
